id,name,placeholder
38,Solving One-Step Linear Inequalities,
40,Solving One-Step Multiplication and Division Equations,
63,Introduction to Algebraic Expressions,
64,Evaluating Linear Expressions,
65,Solving One-Step Addition and Subtraction Equations,
66,Solving Two-Step Equations,
67,Solving Linear Equations With Fractional Coefficients,
68,Simplifying Rational Expressions,
71,The Product Rule for Exponents With Algebraic Expressions,
75,Rules of Absolute Value,
79,"Monomials, Binomials and Trinomials",
81,Adding and Subtracting Polynomials,
85,The Greatest Common Factor of Two Linear Expressions,
87,Factoring Linear Expressions,
89,Factoring Trinomials,
92,The Cartesian Coordinate System,
94,Two-Variable Linear Equations and Their Solutions,
95,Graphing Linear Equations,
96,Absolute Value Expressions,
97,Horizontal and Vertical Lines,
101,Solving Systems of Nonlinear Equations Using Graphs,
121,Evaluating Expressions With Positive Integer Exponents,
125,Exponents With Rational Bases,
134,Collecting Like Terms in a Linear Expression,
135,Applying the Distributive Law With Linear Expressions,
137,Distributing the Negative Sign in a Linear Expression,
138,Simplifying Linear Expressions Using the Distributive Law,
142,Creating Exponential Decay Expressions,
165,Piecewise Functions,
178,Inequalities,
236,Units of Length,
239,Interval Notation,
262,30-60-90 Triangles,
263,Isosceles Right Triangles,
266,Solving Rational Equations Using the Flip Method,
267,The Product Rule for Exponents,
297,Subtracting a Negative Number,
298,Multiplying Positive Numbers With Negative Numbers,
299,Multiplying and Dividing With Zero,
322,The Zeroth Power,
323,Fractions of Fractions,
327,Subtracting a Positive Number From a Smaller Positive Number,
328,Adding a Negative Number,
329,Adding a Positive Number to a Negative Number,
330,Dividing With Negative Numbers,
343,Solving Linear Equations With Variables on Both Sides,
347,Intersections of Intervals,
349,The Distributive Law for Polynomials,
350,Compound AND Inequalities,
352,Factoring Perfect Square Trinomials,
353,Factoring Polynomials Using GCFs,
354,Solving Many-Variable Equations,
355,Splitting Rational Expressions Into Separate Terms,
356,Solving Two-Variable Equations,
360,Squaring Binomials,
361,Multiplying Polynomials,
362,The Power Rule for Exponents With Algebraic Expressions,
370,Factoring Differences of Squares,
371,Multiplying Binomials,
372,Factoring Trinomials With Leading Coefficients,
374,The Quotient Rule for Exponents With Algebraic Expressions,
376,The Square Root of a Perfect Square With Algebraic Expressions,
380,Writing Radical Expressions Using Fractional Exponents,
381,The Cube Root of a Perfect Cube With Algebraic Expressions,
382,Factoring Perfect Square Trinomials With Leading Coefficients,
384,Absolute Value Equations,
387,Verifying Solutions of Linear Inequalities,
388,Solving Compound Inequalities,
389,Simplifying Square Root Expressions Using the Product Rule,
390,Simplifying Square Root Expressions Using the Quotient Rule,
391,Solving Exponential Equations,
396,Calculating Slopes of Straight Lines,
398,Properties of Lines Given in Slope-Intercept Form,
408,Calculating the Intersection of Two Lines,
418,Equations of Lines in Point-Slope Form,
421,Corresponding Angles,
